name,url,summary
For Hire Vehicles (FHV) - Active,https://data.cityofnewyork.us/Transportation/For-Hire-Vehicles-FHV-Active/8wbx-tsch,"
"
Civil Service List (Active),https://data.cityofnewyork.us/City-Government/Civil-Service-List-Active-/vx8i-nprf,"
"
DOB Job Application Filings,https://data.cityofnewyork.us/Housing-Development/DOB-Job-Application-Filings/ic3t-wcy2,"
"
TLC New Driver Application Status,https://data.cityofnewyork.us/Transportation/TLC-New-Driver-Application-Status/dpec-ucu7,"
"
For Hire Vehicles (FHV) - Active Drivers,https://data.cityofnewyork.us/Transportation/For-Hire-Vehicles-FHV-Active-Drivers/xjfq-wh2d,"
"
311 Service Requests from 2010 to Present,https://data.cityofnewyork.us/Social-Services/311-Service-Requests-from-2010-to-Present/erm2-nwe9,"
"
Civil Service List Certification,https://data.cityofnewyork.us/City-Government/Civil-Service-List-Certification/a9md-ynri,"
"
Citywide Payroll Data (Fiscal Year),https://data.cityofnewyork.us/City-Government/Citywide-Payroll-Data-Fiscal-Year-/k397-673e,"
"
Motor Vehicle Collisions - Crashes,https://data.cityofnewyork.us/Public-Safety/Motor-Vehicle-Collisions-Crashes/h9gi-nx95,"
"
DOB Permit Issuance,https://data.cityofnewyork.us/Housing-Development/DOB-Permit-Issuance/ipu4-2q9a,"
"
Street Hail Livery (SHL) Drivers - Active,https://data.cityofnewyork.us/Transportation/Street-Hail-Livery-SHL-Drivers-Active/5tub-eh45,"
"
Medallion Drivers - Active,https://data.cityofnewyork.us/Transportation/Medallion-Drivers-Active/jb3k-j3gp,"
"
Film Permits,https://data.cityofnewyork.us/City-Government/Film-Permits/tg4x-b46p,"
"
Medallion  Vehicles - Authorized,https://data.cityofnewyork.us/Transportation/Medallion-Vehicles-Authorized/rhe8-mgbb,"
"
New York City Leading Causes of Death,https://data.cityofnewyork.us/Health/New-York-City-Leading-Causes-of-Death/jb7j-dtam,"
"
Open Parking and Camera Violations,https://data.cityofnewyork.us/City-Government/Open-Parking-and-Camera-Violations/nc67-uf89,"
"
DOHMH New York City Restaurant Inspection Results,https://data.cityofnewyork.us/Health/DOHMH-New-York-City-Restaurant-Inspection-Results/43nn-pn8j,"
"
OATH Hearings Division Case Status,https://data.cityofnewyork.us/City-Government/OATH-Hearings-Division-Case-Status/jz4z-kudi,"
"
City Record Online,https://data.cityofnewyork.us/City-Government/City-Record-Online/dg92-zbpx,"
"
2018 Central Park Squirrel Census - Squirrel Data,https://data.cityofnewyork.us/Environment/2018-Central-Park-Squirrel-Census-Squirrel-Data/vfnx-vebw,"
"
NYPD Arrest Data (Year to Date),https://data.cityofnewyork.us/Public-Safety/NYPD-Arrest-Data-Year-to-Date-/uip8-fykc,"
"
NYPD Complaint Data Historic,https://data.cityofnewyork.us/Public-Safety/NYPD-Complaint-Data-Historic/qgea-i56i,"
"
School Districts,https://data.cityofnewyork.us/Education/School-Districts/r8nu-ymqj,"
"
NYC Civil Service Titles,https://data.cityofnewyork.us/City-Government/NYC-Civil-Service-Titles/nzjr-3966,"
"
Building Footprints,https://data.cityofnewyork.us/Housing-Development/Building-Footprints/nqwf-w8eh,"
"
DOB NOW: Build – Approved Permits,https://data.cityofnewyork.us/Housing-Development/DOB-NOW-Build-Approved-Permits/rbx6-tga4,List of all approved permits in DOB NOW
FHV Base Aggregate Report,https://data.cityofnewyork.us/Transportation/FHV-Base-Aggregate-Report/2v9c-2k7f,List of all approved permits in DOB NOW
DOB Complaints Received,https://data.cityofnewyork.us/Housing-Development/DOB-Complaints-Received/eabe-havv,List of all approved permits in DOB NOW
Borough Boundaries,https://data.cityofnewyork.us/City-Government/Borough-Boundaries/tqmj-j8zm,List of all approved permits in DOB NOW
Active Projects Under Construction,https://data.cityofnewyork.us/Housing-Development/Active-Projects-Under-Construction/8586-3zfm,List of all approved permits in DOB NOW
NYPD Arrests Data (Historic),https://data.cityofnewyork.us/Public-Safety/NYPD-Arrests-Data-Historic-/8h9b-rp9u,List of all approved permits in DOB NOW
Housing Maintenance Code Violations,https://data.cityofnewyork.us/Housing-Development/Housing-Maintenance-Code-Violations/wvxf-dwi5,List of all approved permits in DOB NOW
