name,url,summary
"Video transects of the sea floor on Stellwagen Bank during U.S. Geological Survey field activity 2017-043-FA, aboard the R/V Auk, Aug. 22 and 23, 2017 (geographic, WGS84, 2017-043-FA_video_driftlines.shp polyline) - Catalog",https://catalog.data.gov//dataset/video-transects-of-the-sea-floor-on-stellwagen-bank-during-u-s-geological-survey-field-act-58f5e,"This field activity is part of an effort to map geologic substrates of the Stellwagen Bank National Marine Sanctuary region off Boston, Massachusetts. The overall goal is to develop high-resolution (1:25,000-scale) interpretive maps, based on multibeam sonar data and seabed sampling, showing surficial geology and seabed sediment dynamics. The data collected in this study will aid research on the ecology of fish and invertebrate species that inhabit the region. On August 22 and 23, 2017, the U.S. Geological Survey, in collaboration with the Stellwagen Bank National Marine Sanctuary, conducted a research cruise aboard the Sanctuary’s Research Vessel Auk, visiting 39 locations within the sanctuary. A customized Van Veen grab sampler (SEABOSS) equipped with a video camera and a conductivity, temperature, and depth (CTD) instrument was deployed in drift mode to collect sediment for grain-size analysis, video imagery of the seabed, and measurements of water column properties."
"Video transects of the sea floor on Stellwagen Bank on U.S. Geological Survey field activity 2015-062-FA, aboard the R/V Auk, Oct. 21 and 22 and Nov. 3 and 4 2015 (geographic, WGS84, 2015-062-FA_driftlines.shp polyline) - Catalog",https://catalog.data.gov//dataset/video-transects-of-the-sea-floor-on-stellwagen-bank-on-u-s-geological-survey-field-activit,"This field activity is part of the effort to map geologic substrates of the Stellwagen Bank National Marine Sanctuary region off Boston, Massachusetts. The overall goal is to develop high-resolution (1:25,000) interpretive maps, based on multibeam sonar data and seabed sampling, showing surficial geology and seabed sediment dynamics. This cruise was conducted in collaboration with the Stellwagen Bank National Marine Sanctuary, and the data collected will aid research on the ecology of fish and invertebrate species that inhabit the region. The Sanctuary's research vessel, R/V Auk, visited 75 locations on Stellwagen Bank at which a customized Van Veen grab sampler (SEABOSS) equipped with a video camera and a CTD was deployed in drift mode to collect sediment for grain-size analysis, video imagery of the seabed, and temperature, conductivity, and depth measurements of the water column. Additional information regarding this field activity is available from "
NASA TechPort - Catalog,https://catalog.data.gov//dataset/nasa-techport-3d05e,"This dataset contains the list of all publicly published NASA projects from within the NASA technology portfolio.  In-depth portfolio information, including details for each of the NASA projects found here, can be found and searched at TechPort.NASA.gov."
"Acquisition and observation logs for seabed video and sediment samples from Stellwagen Bank during U.S. Geological Survey field activity 2014-066-FA, aboard the R/V Auk, November 10, 2014 - Catalog",https://catalog.data.gov//dataset/acquisition-and-observation-logs-for-seabed-video-and-sediment-samples-from-stellwagen-10-,"This field activity is part of the effort to map geologic substrates of the Stellwagen Bank National Marine Sanctuary region off Boston, Massachusetts. The overall goal is to develop high-resolution (1:25,000) interpretive maps, based on multibeam sonar data and seabed sampling, showing surficial geology and seabed sediment dynamics. This cruise was conducted in collaboration with the Stellwagen Bank National Marine Sanctuary, and the data collected will aid research on the ecology of fish and invertebrate species that inhabit the region. The Sanctuary's research vessel, R/V Auk, visited 44 locations on Stellwagen Bank at which a customized Van Veen grab sampler (SEABOSS) equipped with a video camera and a CTD was deployed in drift mode to collect sediment for grain-size analysis, video imagery of the seabed, and measurements of water column properties."
"Ground control point, navigation, and elevation data from pole surveys at Head of the Meadow Beach, Truro during field activity 2020-015-FA on March 4 and 6, 2020 - Catalog",https://catalog.data.gov//dataset/ground-control-point-navigation-and-elevation-data-from-pole-surveys-at-head-of-the-meadow,"The data in this release map the beach and nearshore environment at Head of the Meadow Beach in Truro, MA and provide environmental context for the camera calibration information for the 2019 CoastCam installation that looks out at the coast shared by beachgoers, shorebirds, seals, and sharks. This is related to the field activity 2020-015-FA and a collaboration with the National Park Service at Cape Cod National Seashore to monitor the region that falls within the field of view of the CoastCam, which are two video cameras aimed at the beach. On March 4, 6, and 10, 2020, U.S Geological Survey and Woods Hole Oceanographic Institution (WHOI) scientists conducted field surveys to collect position and orientation information for the CoastCam cameras and map the field of view. Elevation data were collected using a real time kinematic – satellite navigation system (RTK-GNSS) receiver attached to a pole and walked on the beach. Point data of the beach face were collected along transects and at periodic locations of plywood targets moved throughout the day within the CoastCam view. Grain-size analysis was performed on sediment samples collected with a spade along multiple profiles from the bluff base to the intertidal zone. Images of the beach were taken with a camera (Ricoh GRII) and a post-processed kinematic (PPK) system attached to a kitesurfing kite, and high-precision targets (AeroPoints) were used as ground control points. Bathymetry was collected in the nearshore using a single-beam echosounder mounted on a surf capable self-righting electric autonomous survey vehicle. Agisoft Metashape (v. 1.6.1) was used to create a digital elevation model with the collected imagery and this was merged with the bathymetry in MatLab (v. 2020) to create a continuous topobathy product."
"Post-Expedition Report for USGS T-3 Ice Island Heat Flow Measurements in the High Arctic Ocean, 1963-1973 - Catalog",https://catalog.data.gov//dataset/post-expedition-report-for-usgs-t-3-ice-island-heat-flow-measurements-in-the-high-arc-1963,"In February 1963, the U.S. Geological Survey (USGS) began a study of heat flow in the Arctic Ocean Basin and acquired data at 356 sites in Canada Basin and Nautilus Basin and on Alpha-Mendeleev Ridge by the end of the project in 1973. The USGS heat flow and associated piston coring operations were conducted from a scientific station on the freely drifting T-3 Ice island (also known as Fletcher's Ice Island). The Naval Arctic Research Laboratory (NARL) had established T-3 as a drifting research station in 1962 and, along with the Office of Naval Research, kept it operating continuously until September 28, 1974. The USGS heat flow studies were part of the scientific effort supported by the NARL."
"Sidescan sonar polyline shapefile of trackline navigation files collected by the U.S. Geological Survey in the Madison Swanson and Steamboat Lumps Marine Protected Areas, Gulf of Mexico in 2000 (Geographic, WGS 84) - Catalog",https://catalog.data.gov//dataset/sidescan-sonar-polyline-shapefile-of-trackline-navigation-files-collected-by-the-u-s-geolo,"The U.S. Geological Survey (USGS) mapped approximately 22 square miles of the Madison Swanson Marine Protected Area (MPA) and Steamboat Lumps MPA, which are located on the Florida shelf edge in the northeastern Gulf of Mexico in 2000 using sidescan sonar and high-resolution chirp seismic-reflection systems. This survey was conducted as part of a larger study of the effectiveness of no-fishing reserves in protecting grouper spawning aggregations. Field activity information for this cruise is available on-line through the U.S. Geological Survey Coastal and Marine Geoscience Data System at "
"Video transects of the sea floor on Stellwagen Bank during U.S. Geological Survey field activity 2013-044-FA, aboard the R/V Auk, November 5, 15, and 21, 2013 - Catalog",https://catalog.data.gov//dataset/video-transects-of-the-sea-floor-on-stellwagen-bank-during-u-s-geological-survey-field-21-,"This field activity is part of the effort to map geologic substrates of the Stellwagen Bank National Marine Sanctuary region off Boston, Massachusetts. The overall goal is to develop high-resolution (1:25,000) interpretive maps, based on multibeam sonar data and seabed sampling, showing surficial geology and seabed sediment dynamics. This cruise was conducted in collaboration with the Stellwagen Bank National Marine Sanctuary, and the data collected will aid research on the ecology of fish and invertebrate species that inhabit the region. The Sanctuary's research vessel, R/V Auk, visited 81 locations on Stellwagen Bank at which a customized Van Veen grab sampler (SEABOSS) equipped with a video camera and a CTD was deployed in drift mode to collect sediment for grain-size analysis, video imagery of the seabed, and measurements of water column properties."
"Video transects of the sea floor on Stellwagen Bank during U.S. Geological Survey field activity 2014-070-FA, aboard the R/V Auk, December 12, 2014 - Catalog",https://catalog.data.gov//dataset/video-transects-of-the-sea-floor-on-stellwagen-bank-during-u-s-geological-survey-field-12-,"This field activity is part of the effort to map geologic substrates of the Stellwagen Bank National Marine Sanctuary region off Boston, Massachusetts. The overall goal is to develop high-resolution (1:25,000) interpretive maps, based on multibeam sonar data and seabed sampling, showing surficial geology and seabed sediment dynamics. This cruise was conducted in collaboration with the Stellwagen Bank National Marine Sanctuary, and the data collected will aid research on the ecology of fish and invertebrate species that inhabit the region. The Sanctuary's research vessel, R/V Auk, visited 33 locations on Stellwagen Bank at which a customized Van Veen grab sampler (SEABOSS) equipped with a video camera and a CTD was deployed in drift mode to collect sediment for grain-size analysis, video imagery of the seabed, and measurements of water column properties."
"Trackline navigation for Swath interferometric data collected by the U.S. Geological Survey along the Delmarva Peninsula, MD and VA, 2014 (Esri polyline shapefile, GCS WGS 84) - Catalog",https://catalog.data.gov//dataset/trackline-navigation-for-swath-interferometric-data-collected-by-the-u-s-geological-survey,"The Delmarva Peninsula is a 220-kilometer-long headland, spit, and barrier island complex that was significantly affected by Hurricane Sandy. A U.S. Geological Survey cruise was conducted in the summer of 2014 to map the inner continental shelf of the Delmarva Peninsula using geophysical and sampling techniques to define the geologic framework that governs coastal system evolution at storm-event and longer timescales. Data collected during the 2014 cruise include swath bathymetry, sidescan sonar, chirp and boomer seismic-reflection profiles, acoustic Doppler current profiler, and sample and bottom photograph data. Processed data in raster and vector format are released here for the swath bathymetry, sidescan sonar, and seismic-reflection profiles.  More information about the USGS survey conducted as part of the Hurricane Sandy Response-- Geologic Framework and Coastal Vulnerability Study can be found at the project website or on the WHCMSC Field Activity Web pages: "
