name,url,summary
Lottery Cash 4 Life Winning Numbers: Beginning 2014,https://data.ny.gov/Government-Finance/Lottery-Cash-4-Life-Winning-Numbers-Beginning-2014/kwxv-fwze,Go to 
Lottery Daily Numbers/Win-4 Winning Numbers: Beginning 1980,https://data.ny.gov/Government-Finance/Lottery-Daily-Numbers-Win-4-Winning-Numbers-Beginn/hsys-3def,Go to 
Lottery Take 5 Winning Numbers,https://data.ny.gov/Government-Finance/Lottery-Take-5-Winning-Numbers/dg63-4siq,Go to 
Composting - Solid Waste Management Facilities Map,https://data.ny.gov/Energy-Environment/Composting-Solid-Waste-Management-Facilities-Map/y4ic-kfv6,Go to 
Fish Stocking Lists (Actual): Beginning 2011 Data Lens,https://data.ny.gov/stories/s/9hpx-asd8,Go to 
Current Season Spring Trout Stocking Data Lens,https://data.ny.gov/stories/s/bexs-funz,Go to 
Lottery Mega Millions Winning Numbers: Beginning 2002,https://data.ny.gov/Government-Finance/Lottery-Mega-Millions-Winning-Numbers-Beginning-20/5xaw-6ayf,Go to 
Lottery Powerball Winning Numbers: Beginning 2010,https://data.ny.gov/Government-Finance/Lottery-Powerball-Winning-Numbers-Beginning-2010/d6yy-54nr,Go to 
NYS Attorney Registrations,https://data.ny.gov/Transparency/NYS-Attorney-Registrations/eqw2-r5nb,Go to 
Solar Electric Programs Reported by NYSERDA: Beginning 2000,https://data.ny.gov/Energy-Environment/Solar-Electric-Programs-Reported-by-NYSERDA-Beginn/3x8r-34rs,Go to 
Lottery NY Lotto Winning Numbers: Beginning 2001,https://data.ny.gov/Government-Finance/Lottery-NY-Lotto-Winning-Numbers-Beginning-2001/6nbc-h7bj,Go to 
"Car, Boat, and Snowmobile Dealerships Across NYS",https://data.ny.gov/Transportation/Car-Boat-and-Snowmobile-Dealerships-Across-NYS/p9e5-nfyh,Go to 
Active Real Estate Salespersons and Brokers,https://data.ny.gov/Economic-Development/Active-Real-Estate-Salespersons-and-Brokers/yg7h-zjbf,Go to 
Farmers' Markets in New York State Map,https://data.ny.gov/Economic-Development/Farmers-Markets-in-New-York-State-Map/gfni-eg8a,Go to 
Lottery Quick Draw Winning Numbers: Beginning 2013,https://data.ny.gov/Government-Finance/Lottery-Quick-Draw-Winning-Numbers-Beginning-2013/7sqk-ycpk,Go to 
Active Corporations:  Beginning 1800,https://data.ny.gov/Economic-Development/Active-Corporations-Beginning-1800/n9v6-gdp6,Go to 
Facilities Licensed by the Department of Motor Vehicles (DMV),https://data.ny.gov/Transportation/Facilities-Licensed-by-the-Department-of-Motor-Veh/nhjr-rpi2,Go to 
Retail Food Stores,https://data.ny.gov/Economic-Development/Retail-Food-Stores/9a8c-vfzj,Go to 
New York State Registered Tax Return Preparers and Facilitators,https://data.ny.gov/Government-Finance/New-York-State-Registered-Tax-Return-Preparers-and/b7jj-bh4g,Go to 
E-ZPass Retailers Locations,https://data.ny.gov/Transportation/E-ZPass-Retailers-Locations/y59h-w6v4,Go to 
"Breeding Bird Atlas, First Edition, 1980-1985",https://data.ny.gov/Energy-Environment/Breeding-Bird-Atlas-First-Edition-1980-1985/nrsr-fccv,Go to 
Commissioned NYS Notaries Public,https://data.ny.gov/Economic-Development/Commissioned-NYS-Notaries-Public/rwbv-mz6z,Go to 
National Register of Historic Places Map,https://data.ny.gov/Recreation/National-Register-of-Historic-Places-Map/y36f-mkpp,Go to 
OpenNY Press Releases,https://data.ny.gov/dataset/OpenNY-Press-Releases/n2k2-wzfz,Go to 
Vehicle Inspection Stations Across New York State Map,https://data.ny.gov/Transportation/Vehicle-Inspection-Stations-Across-New-York-State-/fmuw-smd7,Go to 
Farmers' Markets in New York State API,https://data.ny.gov/Economic-Development/Farmers-Markets-in-New-York-State-API/xjya-f8ng,In the past decade the number of farmers' markets in New York State has grown at a rapid rate.  The dataset contains information detailing the time and location of community farmers' markets as well as the name and phone number of the market manager.
Taxable Sales And Purchases Quarterly Data: Beginning Sales Tax Year 2013-2014,https://data.ny.gov/Government-Finance/Taxable-Sales-And-Purchases-Quarterly-Data-Beginni/ny73-2j3u,In the past decade the number of farmers' markets in New York State has grown at a rapid rate.  The dataset contains information detailing the time and location of community farmers' markets as well as the name and phone number of the market manager.
Directory of Public Authorities,https://data.ny.gov/Transparency/Directory-of-Public-Authorities/4vym-q77x,In the past decade the number of farmers' markets in New York State has grown at a rapid rate.  The dataset contains information detailing the time and location of community farmers' markets as well as the name and phone number of the market manager.
Winter Farmers' Markets in New York State,https://data.ny.gov/Economic-Development/Winter-Farmers-Markets-in-New-York-State/3tmh-kuni,In the past decade the number of farmers' markets in New York State has grown at a rapid rate.  The dataset contains information detailing the time and location of community farmers' markets as well as the name and phone number of the market manager.
State of New York Mortgage Agency (SONYMA) Loans Purchased: Beginning 2004,https://data.ny.gov/Economic-Development/State-of-New-York-Mortgage-Agency-SONYMA-Loans-Pur/22ew-dxez,In the past decade the number of farmers' markets in New York State has grown at a rapid rate.  The dataset contains information detailing the time and location of community farmers' markets as well as the name and phone number of the market manager.
